Index,Mean
2,0.00012225
3,6.349999999998334e-05
4,6.308333333331666e-05
5,5.4375e-05
6,5.558333333331667e-05
7,5.6812499999983336e-05
8,5.7479166666649994e-05
9,4.912499999996667e-05
10,5.7624999999983335e-05
11,5.8708333333299996e-05
12,5.460416666666667e-05
13,5.5645833333316666e-05
14,5.768749999998334e-05
15,5.4229166666666666e-05
16,5.6812499999983336e-05
17,5.566666666666667e-05
18,5.485416666666667e-05
19,5.6187499999966665e-05
20,5.566666666666667e-05
21,5.608333333331667e-05
22,5.5104166666650004e-05
23,5.516666666665001e-05
24,5.591666666666667e-05
25,5.6145833333316664e-05
26,5.443749999998334e-05
27,5.4979166666649994e-05
28,5.558333333331667e-05
29,5.6250000000000005e-05
30,5.495833333333334e-05
31,5.547916666665e-05
32,5.610416666664999e-05
33,5.614583333333334e-05
34,5.516666666666666e-05
35,5.597916666665e-05
36,5.627083333331667e-05
37,5.485416666666667e-05
38,5.6166666666649996e-05
39,5.560416666665e-05
40,5.535416666666666e-05
41,5.518749999998333e-05
42,5.6291666666650006e-05
43,5.518749999998334e-05
44,5.514583333331667e-05
45,5.5895833333316665e-05
46,5.6250000000000005e-05
47,5.529166666665e-05
48,5.660416666665e-05
49,5.5125e-05
50,5.577083333331667e-05
51,5.5895833333316665e-05
52,5.5208333333316675e-05
53,5.543749999999999e-05
54,5.585416666666667e-05
55,5.5375000000000004e-05
56,5.5375000000000004e-05
57,5.583333333333333e-05
58,5.608333333331666e-05
59,5.577083333331667e-05
60,5.481249999999999e-05
61,5.566666666666667e-05
62,5.575e-05
63,5.527083333333334e-05
64,5.541666666666667e-05
65,5.572916666666666e-05
66,5.545833333331667e-05
67,5.574999999998333e-05
68,5.579166666665e-05
69,5.58125e-05
70,5.654166666666666e-05
71,5.5354166666666666e-05
72,5.522916666665e-05
73,5.552083333333333e-05
74,5.5479166666666655e-05
75,5.539583333333333e-05
76,5.604166666666667e-05
77,5.547916666666667e-05
78,5.5354166666666666e-05
79,5.6145833333333334e-05
80,5.597916666666667e-05
81,5.5625000000000004e-05
82,5.539583333333333e-05
83,5.552083333333333e-05
84,5.568749999999999e-05
85,5.579166666666666e-05
86,5.552083333333333e-05
87,5.5625000000000004e-05
88,5.570833333333333e-05
89,5.539583333333333e-05
90,5.570833333331667e-05
91,5.575000000000001e-05
92,5.629166666666667e-05
93,5.58125e-05
94,5.5499999999999994e-05
95,5.58125e-05
96,5.604166666666667e-05
97,5.5499999999999994e-05
98,5.5791666666666656e-05
99,5.570833333333334e-05
